date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
21:08:18	11171/11171	---MCZ	200	added ('OK')	text/html	date:Mon,%2019%20Jun%202017%2001:08:18%20GMT	http://www.kanjidamage.com/kanji/22-scold-%e5%8f%b1	C:/Users/grenz/Downloads/KanjiDamage/www.kanjidamage.com/kanji/22-scold-%e5%8f%b1.html	(from http://www.kanjidamage.com/kanji)
21:08:18	19247/19247	---MCZ	200	added ('OK')	text/html	date:Mon,%2019%20Jun%202017%2001:08:18%20GMT	http://www.kanjidamage.com/kanji/23-sun-day-%e6%97%a5	C:/Users/grenz/Downloads/KanjiDamage/www.kanjidamage.com/kanji/23-sun-day-%e6%97%a5.html	(from http://www.kanjidamage.com/kanji)
21:08:19	12192/12192	---MCZ	200	added ('OK')	text/html	date:Mon,%2019%20Jun%202017%2001:08:19%20GMT	http://www.kanjidamage.com/kanji/24-the-gist-%e6%97%a8	C:/Users/grenz/Downloads/KanjiDamage/www.kanjidamage.com/kanji/24-the-gist-%e6%97%a8.html	(from http://www.kanjidamage.com/kanji)
21:08:20	12750/12750	---MCZ	200	added ('OK')	text/html	date:Mon,%2019%20Jun%202017%2001:08:19%20GMT	http://www.kanjidamage.com/kanji/25-insect-%e6%98%86	C:/Users/grenz/Downloads/KanjiDamage/www.kanjidamage.com/kanji/25-insect-%e6%98%86.html	(from http://www.kanjidamage.com/kanji)
21:08:20	11566/11566	---MCZ	200	added ('OK')	text/html	date:Mon,%2019%20Jun%202017%2001:08:20%20GMT	http://www.kanjidamage.com/kanji/26-chant-%e5%94%b1	C:/Users/grenz/Downloads/KanjiDamage/www.kanjidamage.com/kanji/26-chant-%e5%94%b1.html	(from http://www.kanjidamage.com/kanji)
21:08:21	11369/11369	---MCZ	200	added ('OK')	text/html	date:Mon,%2019%20Jun%202017%2001:08:21%20GMT	http://www.kanjidamage.com/kanji/27-crystal-%e6%99%b6	C:/Users/grenz/Downloads/KanjiDamage/www.kanjidamage.com/kanji/27-crystal-%e6%99%b6.html	(from http://www.kanjidamage.com/kanji)
21:08:21	12690/12690	---MCZ	200	added ('OK')	text/html	date:Mon,%2019%20Jun%202017%2001:08:21%20GMT	http://www.kanjidamage.com/kanji/28-former-%e6%97%a7	C:/Users/grenz/Downloads/KanjiDamage/www.kanjidamage.com/kanji/28-former-%e6%97%a7.html	(from http://www.kanjidamage.com/kanji)
21:08:22	15509/15509	---MCZ	200	added ('OK')	text/html	date:Mon,%2019%20Jun%202017%2001:08:22%20GMT	http://www.kanjidamage.com/kanji/29-early-%e6%97%a9	C:/Users/grenz/Downloads/KanjiDamage/www.kanjidamage.com/kanji/29-early-%e6%97%a9.html	(from http://www.kanjidamage.com/kanji)
21:08:23	12769/12769	---MCZ	200	added ('OK')	text/html	date:Mon,%2019%20Jun%202017%2001:08:22%20GMT	http://www.kanjidamage.com/kanji/30-danna-husband-%e6%97%a6	C:/Users/grenz/Downloads/KanjiDamage/www.kanjidamage.com/kanji/30-danna-husband-%e6%97%a6.html	(from http://www.kanjidamage.com/kanji)
21:08:23	14389/14389	---MCZ	200	added ('OK')	text/html	date:Mon,%2019%20Jun%202017%2001:08:23%20GMT	http://www.kanjidamage.com/kanji/31-white-%e7%99%bd	C:/Users/grenz/Downloads/KanjiDamage/www.kanjidamage.com/kanji/31-white-%e7%99%bd.html	(from http://www.kanjidamage.com/kanji)
21:08:24	13550/13550	---MCZ	200	added ('OK')	text/html	date:Mon,%2019%20Jun%202017%2001:08:24%20GMT	http://www.kanjidamage.com/kanji/32-everyone-%e7%9a%86	C:/Users/grenz/Downloads/KanjiDamage/www.kanjidamage.com/kanji/32-everyone-%e7%9a%86.html	(from http://www.kanjidamage.com/kanji)
21:08:25	22019/22019	---MCZ	200	added ('OK')	text/html	date:Mon,%2019%20Jun%202017%2001:08:24%20GMT	http://www.kanjidamage.com/kanji/33-water-%e6%b0%b4	C:/Users/grenz/Downloads/KanjiDamage/www.kanjidamage.com/kanji/33-water-%e6%b0%b4.html	(from http://www.kanjidamage.com/kanji)
